Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
RCD Mallorca,Chus Seco,19,Spain,Centre-Forward,CF,-,RCD Mallorca U19,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/chus-seco/profil/spieler/89218
RCD Mallorca,Rafita,22,Spain,Right-Back,RB,-,RCD Mallorca B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/rafita/profil/spieler/35546
RCD Mallorca,Andrija Delibasic,24,Montenegro,Centre-Forward,CF,£1.98m,SL Benfica,Portugal,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/andrija-delibasic/profil/spieler/10289
RCD Mallorca,Javier Dorado,28,Spain,Left-Back,LB,-,Sporting Gijón,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-dorado/profil/spieler/23648
CA Osasuna,Bernardo Romeo,27,Argentina,Centre-Forward,CF,£3.15m,Hamburger SV,Germany,£900Th.,In,2005,s,laliga,https://www.transfermarkt.co.uk/bernardo-romeo/profil/spieler/1431
CA Osasuna,Ricardo,33,Spain,Goalkeeper,GK,£900Th.,Manchester United,England,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/ricardo/profil/spieler/3535
CA Osasuna,Gorka Brit,27,Spain,Centre-Forward,CF,-,UD Salamanca,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/gorka-brit/profil/spieler/29167
CA Osasuna,Marcelo Sosa,27,Uruguay,Defensive Midfield,DM,£1.80m,Atlético Madrid,Spain,Loan,In,2005,s,laliga,https://www.transfermarkt.co.uk/marcelo-sosa/profil/spieler/16654
CA Osasuna,Javier Flaño,20,Spain,Right-Back,RB,£360Th.,CA Osasuna Promesas,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-flano/profil/spieler/25461
CA Osasuna,Fran Moreno,21,Spain,Attacking Midfield,AM,-,CA Osasuna Promesas,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/fran-moreno/profil/spieler/35547
